"codigo","uso"
"1","Inmuebles destinados a la producción de energía eléctrica y gas, al refino de petróleo y centrales nucleares"
"2","Presas, saltos de agua y embalses"
"3","Autopistas, carreteras y túneles de peaje"
"4","Aeropuertos y puertos comerciales"
"A","Almacén -Estacionamiento"
"V","Residencial"
"I","Industrial"
"O","Oficinas"
"C","Comercial"
"K","Deportivo"
"T","Espectáculos"
"G","Ocio y Hostelería"
"Y","Sanidad y Beneficencia"
"E","Cultural"
"R","Religioso"
"M","Obras de urbanización y jardinería, suelos sin edificar"
"P","Edificio singular"
"B","Almacén agrario"
"J","Industrial agrario"
"Z","Agrario"
