"ttggss","descripcion","tipo","descr_tema"
"010401","Límite nación","Tramo","División Administrativa"
"010301","Límite autonomía","Tramo","División Administrativa"
"010201","Límite provincia","Tramo","División Administrativa"
"010101","Límite municipio","Tramo","División Administrativa"
"010102","Límite anejo o municipio agregado","Tramo","División Administrativa"
"013101","Límite comarca","Tramo","División Administrativa"
"017401","Perímetro parque nacional","Tramo","División Administrativa"
"017501","Perímetro parque natural","Tramo","División Administrativa"
"015401","Centroide nación","Entidad superficial","División Administrativa"
"015301","Centroide autonomía","Entidad superficial","División Administrativa"
"015201","Centroide provincia","Entidad superficial","División Administrativa"
"015101","Centroide municipio","Entidad superficial","División Administrativa"
"016101","Centroide comarca","Entidad superficial","División Administrativa"
"018501","Muga","Entidad puntual","División Administrativa"
"018507","Mojón intermunicipal","Entidad puntual","División Administrativa"
"018506","Mojón tres términos","Entidad puntual","División Administrativa"
"020200","Curva de nivel (normal)","Tramo","Relieve"
"020400","Curva de nivel (maestra)","Tramo","Relieve"
"020600","Curva de depresión (normal)","Tramo","Relieve"
"020800","Curva de depresión (maestra)","Tramo","Relieve"
"021151","Línea de talud","Tramo","Relieve"
"021152","Línea de desmonte","Tramo","Relieve"
"021153","Línea de terraplén","Tramo","Relieve"
"028110","Señal de nivelación","Entidad puntual","Relieve"
"028112","Punto acotado","Entidad puntual","Relieve"
"030100","Curso representado por una sola línea","Tramo","Hidrografía"
"030102","Margen de río/arroyo/curso fluvial","Tramo","Hidrografía"
"030201","Curso fluvial intermitente (una línea)","Tramo","Hidrografía"
"030202","Margen de curso fluvial intermitente","Tramo","Hidrografía"
"030104","Eje de curso fluvial","Tramo","Hidrografía"
"030304","Eje de acequia/canal","Tramo","Hidrografía"
"030302","Margen de acequia/canal","Tramo","Hidrografía"
"032301","Línea de costa","Tramo","Hidrografía"
"033301","Contorno de lago/laguna","Tramo","Hidrografía"
"033401","Contorno de lago/laguna intermitente","Tramo","Hidrografía"
"030190","Curso representado por una sola línea","Entidad lineal virtual","Hidrografía"
"030192","Margen de río/arroyo/curso fluvial","Entidad lineal virtual","Hidrografía"
"030291","Curso fluvial intermitente (una línea)","Entidad lineal virtual","Hidrografía"
"030292","Margen de curso fluvial intermitente","Entidad lineal virtual","Hidrografía"
"030194","Eje de curso fluvial","Entidad lineal virtual","Hidrografía"
"030394","Eje de acequia/canal","Entidad lineal virtual","Hidrografía"
"030392","Margen de acequia/canal","Entidad lineal virtual","Hidrografía"
"035501","Centroide correspondiente a mar/océano","Entidad superficial","Hidrografía"
"035101","Centroide correspondiente a río","Entidad superficial","Hidrografía"
"035301","Centroide correspondiente a lago/laguna","Entidad superficial","Hidrografía"
"036301","Centroide correspondiente a canal","Entidad superficial","Hidrografía"
"037101","Pozo","Perímetro","Hidrografía"
"037102","Fuente","Perímetro","Hidrografía"
"037105","Estanque","Perímetro","Hidrografía"
"037131","Depósito (a nivel de suelo)","Perímetro","Hidrografía"
"037138","Depósito elevado","Perímetro","Hidrografía"
"057107","Dique de embalse o presa","Perímetro","Hidrografía"
"038101","Pozo","Entidad puntual","Hidrografía"
"038102","Fuente","Entidad puntual","Hidrografía"
"038105","Estanque","Entidad puntual","Hidrografía"
"060194","Eje de autopista/autovía","Entidad lineal virtual","Vías de comunicación"
"060294","Eje de carretera","Entidad lineal virtual","Vías de comunicación"
"060494","Eje de camino, vía pecuaria","Entidad lineal virtual","Vías de comunicación"
"061194","Eje de FFCC (vía simple)","Entidad lineal virtual","Vías de comunicación"
"061294","Eje de FFCC (vía doble)","Entidad lineal virtual","Vías de comunicación"
"060192","Margen de autopista/autovía","Entidad lineal virtual","Vías de comunicación"
"060292","Margen de carretera","Entidad lineal virtual","Vías de comunicación"
"060492","Margen de camino, vía pecuaria","Entidad lineal virtual","Vías de comunicación"
"060199","Teleférico/funicular","Entidad lineal virtual","Vías de comunicación"
"067121","Perímetro de puente","Tramo","Vías de comunicación"
"067123","Perímetro de alcantarilla","Tramo","Vías de comunicación"
"060104","Eje de autopista/autovía","Tramo","Vías de comunicación"
"060204","Eje de carretera","Tramo","Vías de comunicación"
"060404","Eje de camino, vía pecuaria","Tramo","Vías de comunicación"
