"id","desc"
"-I","Volumen bajo rasante 1 altura"
"-II","Volumen bajo rasante 2 alturas"
"I","Volumen sobre rasante 1 altura"
"II","Volumen sobre rasante 2 alturas"
"B","Balcón"
"T","Tribuna (balcón techado)"
"TZA","Terraza"
"POR","Porche"
"SOP","Soportal"
"PJE","Pasaje"
"MAR","Marquesina"
"P","Patio"
"CO","Cobertizo"
"EPT","Entreplanta"
"SS","Semisótano"
"ALT","Altillo"
"PI","Piscina"
"TEN","Pista de tenis"
"ETQ","Estanque"
"SILO","Silo"
"SOLAR","Solar"
"PRG","Pérgola"
"DEP","Depósito"
"ESC","Escalera"
"TRF","Transformador"
"GON","Góndola"
"JD","Jardín"
"FUT","Campo de fútbol"
"VOL","Voladizo"
"ZD","Zona Deportiva"
"RUINA","Ruinas"
"CONS","En construcción"
