"id","desc"
"A","Almacenamiento" 
"AAL","Almacen" 
"AAP","Almacen (Apar.)" 
"AES","Almacen (Est.)" 
"BCR","Caseta riego" 
"BCT","Caseta transform." 
"BIG","Inst. ganaderas" 
"C","Comercio" 
"CAT","Comercio Automoviles" 
"CBZ","Comercio Bazar" 
"CCE","Comercio Menor" 
"CCL","Comercio Calzado" 
"CCR","Comercio Carniceria" 
"CDM","Comercio (Pers/Dom)" 
"CDR","Comercio Drogueria" 
"CFN","Comercio Financiero" 
"CFR","Comercio Farmacia" 
"CFT","Comercio Fontaner." 
"CGL","Comercio Galerias" 
"CIM","Comercio Imprenta" 
"CJY","Comercio Joyeria" 
"CLB","Comercio Libreria" 
"CMB","Comercio Muebles" 
"CPA","Comercio Por Mayor" 
"CPR","Comercio Perfumeria" 
"CRL","Comercio Relojeria" 
"CSP","Comercio Supermerc." 
"CTJ","Comercio Tejidos" 
"E","Enseñanza" 
"EBL","Ens. Biblioteca" 
"EBS","Ens. Basica" 
"ECL","Ens. Casa Cultura" 
"EIN","Ens. Instituto" 
"EMS","Ens. Museo" 
"EPR","Ens. Profesional" 
"EUN","Ens. Universidad" 
"IIM","Ind. Quimica" 
"IMD","Ind. Madera"
"G","Hotel" 
"GC1","Hotel Cafe 1T" 
"GC2","Hotel Cafe 2T" 
"GC3","Hotel Cafe 3T" 
"GC4","Hotel Cafe 4T" 
"GC5","Hotel Cafe 5T" 
"GH1","Hotel Hotel 1E" 
"GH2","Hotel Hotel 2E" 
"GH3","Hotel Hotel 3E" 
"GH4","Hotel Hotel 4E" 
"GH5","Hotel Hotel 5E" 
"GPL","Hotel Apt.Luj." 
"GP1","Hotel Apt.Luj.1C" 
"GP2","Hotel Apt.Luj.2C" 
"GP3","Hotel Apt.Luj.3C" 
"GR1","Hotel Rest. 1T" 
"GR2","Hotel Rest. 2T" 
"GR3","Hotel Rest. 3T" 
"GR4","Hotel Rest. 4T" 
"GR5","Hotel Rest. 5T" 
"GS1","Hostal p S1 (Hotel)" 
"GS2","Hostal p S2 (Hotel)" 
