"id","desc"
"AG","Agregado"
"AL","Aldea, Alameda"
"AR","Área, Arrabal"
"AU","Autopista"
"AV","Avenida"
"AY","Arroyo"
"BJ","Bajada"
"BO","Barrio"
"BR","Barranco"
"CA","Cañada"
"CG","Colegio, Cigarral"
"CH","Chalet"
"CI","Cinturón"
"CJ","Calleja, Callejón"
"CL","Calle"
"CM","Camino, Carmen"
"CN","Colonia"
"CO","Concejo, Colegio"
"CP","Campa, Campo"
"CR","Carretera, Carrera"
"CS","Caserío"
"CT","Cuesta, Costanilla"
"CU","Conjunto"
"DE","Detrás"
"DP","Diputación"
"DS","Diseminado"
"ED","Edificio"
"EM","Extramuros"
"EN","Entrada, Ensanche"
"ER","Extrarradio"
"ES","Escalinata"
"EX","Explanada"
"FC","Ferrocarril"
"FN","Finca"
"GL","Glorieta"
"GR","Grupo"
"GV","Gran Vía"
"HT","Huerta, Huerto"
"JR","Jardines"
"LD","Lado, Ladera"
"LG","Lugar"
"MC","Mercado"
"ML","Muelle"
"MN","Municipio"
"MS","Masía"
"MT","Monte"
"MZ","Manzana"
"PB","Poblado"
"PD","Partida"
"PJ","Pasaje, Pasadizo"
"PL","Polígono"
"PM","Páramo"
"PQ","Parroquia, Parque"
"PR","Prolongación, Continuación"
"PS","Paseo"
"PT","Puente"
"PZ","Plaza"
"QT","Quinta"
"RB","Rambla"
"RC","Rincón, Rinconada"
"RD","Ronda"
"RM","Ramal"
"RP","Rampa"
"RR","Riera"
"RU","Rúa"
"SA","Salida"
"SD","Senda"
"SL","Solar"
"SN","Salón"
"SU","Subida"
"TN","Terreno"
"TO","Torrente"
"TR","Travesía"
"UR","Urbanización"
"VR","Vereda"
"CY","Caleya"
